제목,작성자,작성일,조회수,좋아요
N/A,동글동감자,N/A,N/A,N/A
수시입학 수능,도와줘요락앤롤,00:52,121,N/A
N/A,도와줘요락앤롤,N/A,N/A,N/A
생윤 질문 마지막..,3141592653,00:51,133,N/A
N/A,3141592653,N/A,N/A,N/A
수능날 후드집업 모자 써도,코타키나발루,00:50,324,N/A
N/A,코타키나발루,N/A,N/A,N/A
수능 후 출결,가무자깡,00:49,235,N/A
N/A,가무자깡,N/A,N/A,N/A
중앙대 조기발표 잘 안하나요..?,쀼앵쀼,00:49,174,N/A
N/A,쀼앵쀼,N/A,N/A,N/A
방석에 이름적혀있는데 들고가도되나요?,모든행운은밍꺼,00:48,190,N/A
N/A,모든행운은밍꺼,N/A,N/A,N/A
숙명여대,빡센수시러,00:47,171,N/A
N/A,빡센수시러,N/A,N/A,N/A
수능 질문 (밥 필적문장),으ㅡ앆,00:47,161,N/A
N/A,으ㅡ앆,N/A,N/A,N/A
한국사 1회독,맨날졸려ㅠ,00:47,115,N/A
N/A,맨날졸려ㅠ,N/A,N/A,N/A
연대 미래 조기발표 가능성,Karinaaa,00:46,73,N/A
N/A,Karinaaa,N/A,N/A,N/A
청주대,Illiiilllliiilllliii,00:46,89,N/A
N/A,Illiiilllliiilllliii,N/A,N/A,N/A
수능 미응시 급해요,코리도라스가물치,00:46,407,N/A
N/A,코리도라스가물치,N/A,N/A,N/A
강원대 면접 안가고,비배,00:45,118,N/A
N/A,비배,N/A,N/A,N/A
소능 텀블러반입가능한가요??,25예비부엉이,00:43,307,N/A
N/A,25예비부엉이,N/A,N/A,N/A
한국사~탐구 사이 쉬는 시간,빵교,00:43,216,N/A
N/A,빵교,N/A,N/A,N/A
조언 부탁드려요,ㅐㅑㅐㅑㅐㅑㅐ,00:42,196,N/A
N/A,ㅐㅑㅐㅑㅐㅑㅐ,N/A,N/A,N/A
수능 잘 풀고 잘 찍기!,유교과25학번이되,00:42,81,N/A
N/A,유교과25학번이되,N/A,N/A,N/A
기술 수행 5점 감점,상승곡선 간절히,00:41,76,N/A
N/A,상승곡선 간절히,N/A,N/A,N/A
여대 논란 ㅠ,올해대학좀보내줘,00:40,754,N/A
N/A,올해대학좀보내줘,N/A,N/A,N/A
수능장 교실에 시계,삼반수ㅅ,00:40,344,N/A
N/A,삼반수ㅅ,N/A,N/A,N/A
짝수들 수능 잘봅시다,뇨나낭,00:40,285,N/A
N/A,뇨나낭,N/A,N/A,N/A
성신여대 자기주도인재 전형,제대학합격기원발,00:40,73,N/A
N/A,제대학합격기원발,N/A,N/A,N/A
수능 시계 고정이요,수시카드캡터,00:40,458,N/A
N/A,수시카드캡터,N/A,N/A,N/A
솔직히 나는,삼반수ㅅ,00:38,235,N/A
N/A,삼반수ㅅ,N/A,N/A,N/A
단국대,Soub,00:37,142,N/A
N/A,Soub,N/A,N/A,N/A
수능 반입금지,ㅠㅠㅜㅠㅜㅜ,00:36,453,N/A
N/A,ㅠㅠㅜㅠㅜㅜ,N/A,N/A,N/A
빠이팅~~,IlllIIIlIIIllllIIl,00:36,36,N/A
N/A,IlllIIIlIIIllllIIl,N/A,N/A,N/A
지구과학 벼락치기,25학번 간다,00:35,233,N/A
N/A,25학번 간다,N/A,N/A,N/A
지원동기 진로 관련 활동,illlilillllililll,00:35,47,N/A
N/A,illlilillllililll,N/A,N/A,N/A
생윤 질문,lllliillliki,00:34,103,N/A
N/A,lllliillliki,N/A,N/A,N/A
협성대 추합,인천일반고3,00:34,78,N/A
N/A,인천일반고3,N/A,N/A,N/A
"수능 쉬는시간, 점심시간",으차으찿,00:34,322,N/A
N/A,으차으찿,N/A,N/A,N/A
할 수 있다,minari7,00:33,46,N/A
N/A,minari7,N/A,N/A,N/A
수능 관련 아무거나 빨리 물어보세요 여러분들,Harunohi,00:32,817,N/A
N/A,Harunohi,N/A,N/A,N/A
내일 수능 기출 인터넷에 몇시 쯤 올라올까요?,하이천,00:32,282,N/A
N/A,하이천,N/A,N/A,N/A
한양여대 추합,핫튱,00:31,117,N/A
N/A,핫튱,N/A,N/A,N/A
아주대 영문과 면접,구부부부두붑붑,00:30,57,N/A
N/A,구부부부두붑붑,N/A,N/A,N/A
국어 풀기 전까지 뭐할까요,다시시작했,00:30,281,N/A
N/A,다시시작했,N/A,N/A,N/A
잠이안와요 어케요,illlilllllll,00:30,635,N/A
N/A,illlilllllll,N/A,N/A,N/A
기상 시간,whatewer,00:29,247,N/A
N/A,whatewer,N/A,N/A,N/A
예비번호,IllIlIlIlIIIIl,00:28,152,N/A
N/A,IllIlIlIlIIIIl,N/A,N/A,N/A
감독관분들이 너무 FM인건 아닙니다.,li123,00:28,455,N/A
N/A,li123,N/A,N/A,N/A
가방에 똘병이 달아도 되나,듀듀듀듀바바바바,00:28,179,N/A
N/A,듀듀듀듀바바바바,N/A,N/A,N/A
수시 반수 계획인데 정특 듣는 게 좋을까요?,aaajin,00:27,178,N/A
N/A,aaajin,N/A,N/A,N/A
개념 좀 더 보고 잘까요,whatewer,00:27,305,N/A
N/A,whatewer,N/A,N/A,N/A
[학습자료] [작년 지구과학 9모 4등급->수능 1등급] 수능장에 가져가서 봐도 좋을 수능 전에 반드시 봐야할 지구과학 총정리(총 118문항),michael4,00:26,36,N/A
N/A,michael4,N/A,N/A,N/A
아직 안 자는 생윤황 계신가요,공부공부공부우웅,00:26,254,N/A
N/A,공부공부공부우웅,N/A,N/A,N/A
이화여대 컴퓨터 공학과 예비,까칠한 모몬가,00:26,213,N/A
N/A,까칠한 모몬가,N/A,N/A,N/A
가채점,바바ㅏ바,00:26,194,N/A
N/A,바바ㅏ바,N/A,N/A,N/A
Team 06,광고홍보학과 25학번,00:26,172,N/A
N/A,광고홍보학과 25학번,N/A,N/A,N/A
서경대 라이프,Maune,00:24,171,N/A
N/A,Maune,N/A,N/A,N/A
할 수 있다,헬창맛큐키,00:24,89,N/A
N/A,헬창맛큐키,N/A,N/A,N/A
[미대 수시] 4수도 수시 실기 쓸 수 있나요?,나최초합시켜줘제발,00:24,223,N/A
N/A,나최초합시켜줘제발,N/A,N/A,N/A
확통 공대,잠자는숲속의현정,00:24,76,N/A
N/A,잠자는숲속의현정,N/A,N/A,N/A
학교 골라주세요...,qysg,00:24,185,N/A
N/A,qysg,N/A,N/A,N/A
샤프랑 컴싸는 학교에서 주는 거 맞죠?,Kkkkkkkhhh,00:24,391,N/A
N/A,Kkkkkkkhhh,N/A,N/A,N/A
수능장에 문제집 한 권 가져가도 되나요?,lllliiilililiilllli,00:24,371,N/A
N/A,lllliiilililiilllli,N/A,N/A,N/A
다른얘기지만 수능 이후,가무자깡,00:24,236,N/A
N/A,가무자깡,N/A,N/A,N/A
[컴공 수시] 컴공 명지전문대vs인하공전,우이오어,00:22,91,N/A
N/A,우이오어,N/A,N/A,N/A
나비는 결국 바다를 건너지 못했으나...,딮붕딮붕이,00:22,167,N/A
N/A,딮붕딮붕이,N/A,N/A,N/A
탐구시간에 이거대로 행동하는거 맞나요ㅜㅜ,tftfn,00:22,268,N/A
N/A,tftfn,N/A,N/A,N/A
여대논란에서 가장 피해보는 사람=여대 지원한 사람,영어할수있을까,00:22,507,N/A
N/A,영어할수있을까,N/A,N/A,N/A
여고에서는 왜 담배를 안필까,lllililillililillil,00:22,356,N/A
N/A,lllililillililillil,N/A,N/A,N/A
"6,9모 망하신분들 기 받아가세요 !!",Harunohi,00:20,380,N/A
N/A,Harunohi,N/A,N/A,N/A
빈순삽 찍기,리트라이는없다,00:20,114,N/A
N/A,리트라이는없다,N/A,N/A,N/A
수험표 할인,Kendnd,00:20,237,N/A
N/A,Kendnd,N/A,N/A,N/A
수능 응시 필수,KDMDHHG,00:18,201,N/A
N/A,KDMDHHG,N/A,N/A,N/A
수능장에서 옆반 들어가도 되나요?,MANGOJAM,00:18,441,N/A
N/A,MANGOJAM,N/A,N/A,N/A
한성대 지균 크리에이티브인문학부(야),살려주세연,00:18,39,N/A
N/A,살려주세연,N/A,N/A,N/A
컴싸 떨구면 감독관님이 주워주시나요…?,llilillllllllllil,00:18,560,N/A
N/A,llilillllllllllil,N/A,N/A,N/A
수능날 생일,럭키맛카피바라,00:18,235,N/A
N/A,럭키맛카피바라,N/A,N/A,N/A
중부대 vs호서대,감자자6,00:17,95,N/A
N/A,감자자6,N/A,N/A,N/A
내일 꼭 최저 맞췄으면...🍀🍀,제발1차합이라도,00:17,167,N/A
N/A,제발1차합이라도,N/A,N/A,N/A
내일 숙대 면접 1차 합발,미오디오맘마미아,00:17,227,N/A
N/A,미오디오맘마미아,N/A,N/A,N/A
한성대 지균 크리에이티브인문(야),살려주세연,00:16,26,N/A
N/A,살려주세연,N/A,N/A,N/A
"사문 도표빼고 1,2,3단원 개념 물어보세요!!헷갈리는거 답변해드릴게요!!",삼반수ㅅ,00:16,180,N/A
N/A,삼반수ㅅ,N/A,N/A,N/A
수험표와 신분증,열혈맘스,2024.11.13.,216,N/A
N/A,열혈맘스,N/A,N/A,N/A
수능 도시락,응애곤듀,2024.11.13.,440,N/A
N/A,응애곤듀,N/A,N/A,N/A
당연히 어렵겠죠???,할수있억,2024.11.13.,240,N/A
N/A,할수있억,N/A,N/A,N/A
스험표가 찢어졋어요,ㅇ히,2024.11.13.,1016,N/A
N/A,ㅇ히,N/A,N/A,N/A
수능완성 부정행위,liillliiilili,2024.11.13.,425,N/A
N/A,liillliiilili,N/A,N/A,N/A
수능 미응시,ilililillilillllliii,2024.11.13.,165,N/A
N/A,ilililillilillllliii,N/A,N/A,N/A
그냥 평범한 대학 가는 것도,25학번 간다,2024.11.13.,671,N/A
N/A,25학번 간다,N/A,N/A,N/A
실내화 필수아니죠?? 운동화신어도 되죠?,치타라라,2024.11.13.,472,N/A
